"Notes"	"County"	"County Code"	"Hispanic Origin"	"Hispanic Origin Code"	"Race"	"Race Code"	"Age of Mother 9"	"Age of Mother 9 Code"	"Month Prenatal Care Began"	"Month Prenatal Care Began Code"	Births
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	20
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"20-24 years"	"20-24"	"3rd month"	"03"	34
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"20-24 years"	"20-24"	"4th month"	"04"	11
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	20
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	36
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"25-29 years"	"25-29"	"4th month"	"04"	19
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"25-29 years"	"25-29"	"5th month"	"05"	17
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	12
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"30-34 years"	"30-34"	"3rd month"	"03"	46
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"30-34 years"	"30-34"	"4th month"	"04"	19
	"Jefferson County, AL"	"01073"	"Mexican"	"2148-5"	"White"	"2106-3"	"35-39 years"	"35-39"	"3rd month"	"03"	19
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"White"	"2106-3"	"20-24 years"	"20-24"	"4th month"	"04"	10
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	13
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"White"	"2106-3"	"25-29 years"	"25-29"	"3rd month"	"03"	10
	"Madison County, AL"	"01089"	"Mexican"	"2148-5"	"White"	"2106-3"	"30-34 years"	"30-34"	"2nd month"	"02"	11
	"Montgomery County, AL"	"01101"	"Mexican"	"2148-5"	"White"	"2106-3"	"25-29 years"	"25-29"	"No prenatal care"	"00"	13
	"Shelby County, AL"	"01117"	"Mexican"	"2148-5"	"White"	"2106-3"	"20-24 years"	"20-24"	"2nd month"	"02"	11
	"Shelby County, AL"	"01117"	"Mexican"	"2148-5"	"White"	"2106-3"	"25-29 years"	"25-29"	"2nd month"	"02"	13
